TimeOfDay,Price,10minStDev,10minAverage,Bollinger,Volume
11:30:59,535.32,0.3142765056658523,534.8363636363637,--,14537466.0
11:31:59,535.22,0.327216937393564,534.9172727272727,--,14619860.0
11:32:59,535.35,0.3414501491545231,534.9918181818182,--,14659594.0
11:33:59,535.31,0.33692180625658974,535.0436363636363,--,14706588.0
11:34:59,535.18,0.3111817952451421,535.0681818181818,--,14744674.0
11:35:59,535.18,0.28725350390755683,535.0927272727272,--,14781101.0
11:36:59,534.93,0.26348470987252404,535.09,--,14843064.0
11:37:59,534.84,0.26316972095695984,535.0890909090908,--,14910466.0
11:38:59,534.88,0.2700442404693697,535.1027272727272,--,14943296.0
11:40:00,535.03,0.2591206304541922,535.11,--,14976126.0
11:41:00,534.99,0.2528752762417382,535.1118181818182,--,15008206.0
11:42:00,534.81,0.22048662116487086,535.0654545454546,--,15039536.0
11:43:00,534.79,0.21298352863796827,535.0263636363637,--,15070116.0
11:44:00,534.79,0.19189982986767168,534.9754545454547,--,15099946.0
11:45:00,534.82,0.17746503660902974,534.9309090909092,--,15129026.0
11:46:00,534.86,0.1746887325165289,534.9018181818183,--,15157356.0
11:47:00,534.96,0.17429691326717675,534.8818181818183,--,15184936.0
11:48:00,535.11,0.17925109252053817,534.8981818181818,--,15211766
11:48:56,535.1,0.17139613213170413,534.9218181818181,--,15218706.0
11:49:56,535.03,0.1602482109290337,534.9354545454545,--,15243943.0
11:50:56,535.15,0.16990429090856599,534.9463636363636,--,15261661.0
11:51:56,534.99,0.16640766251219322,534.9463636363636,--,15310789.0
11:52:56,534.93,0.14773852468279564,534.9572727272727,--,15331504.0
11:53:56,534.94,0.1297483549503899,534.970909090909,--,15354740.0
11:54:56,534.96,0.11735054116470747,534.9863636363635,--,15372947.0
11:55:56,534.98,0.11266160443982305,535.0009090909091,--,15392185.0
11:56:56,535.19,0.12179721048056594,535.0309090909091,--,15439317.0
11:57:56,535.17,0.12485182803304279,535.05,--,15468538.0
11:58:56,535.16,0.11189341015748015,535.0545454545454,--,15481716.0
