TimeOfDay,Price,10minSD,10minAverage,Bollinger,Volume
13:19:02,546.76,0.3392992292094919,546.4918181818183,0,"24,254,180 "
13:20:02,546.58,0.2539278221128504,546.5645454545455,0,"24,293,805 "
13:21:02,546.39,0.14999724515375915,546.6109090909091,0,"24,349,677 "
13:22:02,546.24,0.1651045248690406,546.6036363636363,-1,"24,410,013 "
13:23:04,546.32,0.18426534945090273,546.5809090909091,0,"24,471,458 "
13:24:02,546.23,0.21008459531836557,546.549090909091,0,"24,543,497 "
13:25:02,546.06,0.25180997689292267,546.5009090909093,0,"24,816,078 "
13:26:02,545.89,0.30377242460503134,546.4363636363637,0,"24,906,814 "
13:27:04,545.99,0.3141221534255933,546.3699999999999,0,"24,971,271 "
13:28:03,545.98,0.3017305458750525,546.2963636363637,0,"25,026,075 "
13:29:03,545.91,0.2698913157440509,546.2136363636364,0,"25,070,868 "
13:30:03,546.05,0.20969478016024568,546.1490909090909,0,"25,155,432 "
13:31:03,546.2,0.16165977946763788,546.1145454545455,0,"25,607,404 "
13:32:02,545.84,0.15358525239120513,546.0645454545454,0,"25,667,721 "
13:33:03,545.6,0.19241398206957352,546.0063636363636,-1,"25,770,284 "
13:34:03,545.74,0.17818645634037308,545.9536363636363,0,"26,134,508 "
13:35:02,545.71,0.16723813871638016,545.9063636363636,0,"26,218,784 "
13:36:03,545.43,0.20777848980693206,545.849090909091,-1,"26,368,320 "
13:37:02,545.53,0.2262851269475986,545.8163636363637,0,"26,496,458 "
13:38:03,545.48,0.23790754506741416,545.77,0,"26,609,186 "
13:39:02,545.26,0.26823882290918727,545.7045454545455,0,"26,728,372 "
13:40:03,545.55,0.26308720233615335,545.6718181818181,0,"26,869,452 "
13:41:02,545.74,0.236307685685547,545.6436363636363,0,"26,983,489 "
13:42:02,545.94,0.18742271134331873,545.62,0,"27,137,314 "
13:43:03,546.11,0.22792995879372796,545.6445454545454,1,"27,236,716 "
13:44:03,546.41,0.3156182441384876,545.7181818181818,1,"27,606,699 "
13:45:03,546.55,0.3962969084782516,545.7918181818183,0,"27,700,300 "
13:46:03,546.39,0.43029107964625435,545.8536363636365,0,"27,822,763 "
13:47:03,546.37,0.4310126457848339,545.9390909090909,0,"28,150,428 "
